datetime,sarima,tbats,naive,actual
2026-01-12 01:00:00,14.3496261052512,-5.63793023553018,6,4
2026-01-12 02:00:00,16.5489863134481,-7.685928991943,16,9
2026-01-12 03:00:00,29.7772715532982,11.5521673005362,21,32
2026-01-12 04:00:00,51.8239550201708,32.6734091097881,52,49
2026-01-12 05:00:00,100.191393253377,82.3931525602384,89,98
2026-01-12 06:00:00,261.771206060287,252.183900720512,232,287
2026-01-12 07:00:00,395.575756166258,406.805119770258,327,497
2026-01-12 08:00:00,454.035607885249,438.66618596491,408,523
2026-01-12 09:00:00,465.025441591814,467.186960815429,413,471
2026-01-12 10:00:00,515.324928058552,528.860433801769,461,487
2026-01-12 11:00:00,525.502460676587,581.320963926469,490,631
2026-01-12 12:00:00,520.683588473477,585.531737562982,456,653
2026-01-12 13:00:00,513.83376107632,582.86116730929,461,607
2026-01-12 14:00:00,529.54601589793,621.410514498612,461,596
2026-01-12 15:00:00,634.30742965776,668.617608908006,587,725
2026-01-12 16:00:00,574.191992161438,563.83655217285,536,586
2026-01-12 17:00:00,442.995796970884,400.281409859193,455,460
2026-01-12 18:00:00,255.029894976919,240.860435538798,247,268
2026-01-12 19:00:00,195.114264618543,168.566156844985,206,205
2026-01-12 20:00:00,133.164876987583,103.189378353548,130,142
2026-01-12 21:00:00,74.4440469208016,53.0053639838682,80,69
2026-01-12 22:00:00,62.5693482816762,31.4583364632192,69,48
2026-01-12 23:00:00,31.993919982907,16.6165734105064,33,27
2026-01-13,23.0515488050855,5.93344563083002,17,8
2026-01-13 01:00:00,13.9384124383417,-2.3862657986686,6,14
2026-01-13 02:00:00,16.5128156474378,-6.21378447572602,16,13
2026-01-13 03:00:00,29.3457671885366,12.606747654453,21,27
2026-01-13 04:00:00,51.8415863888006,29.2413638405801,52,49
2026-01-13 05:00:00,99.62558313473,85.7658321734356,89,111
2026-01-13 06:00:00,260.331192967853,256.544124974369,232,296
2026-01-13 07:00:00,392.325842813522,411.698507181101,327,509
2026-01-13 08:00:00,451.828967503058,460.919851667892,408,543
2026-01-13 09:00:00,462.522577674143,468.160232473631,413,578
2026-01-13 10:00:00,512.679918582809,521.542693394878,461,587
2026-01-13 11:00:00,523.968094392202,554.580512685577,490,639
2026-01-13 12:00:00,517.489253213385,591.203443911446,456,659
2026-01-13 13:00:00,511.215782422588,561.019148216386,461,708
2026-01-13 14:00:00,526.338082371728,586.039247357239,461,707
2026-01-13 15:00:00,632.098743943403,659.394328934608,587,771
2026-01-13 16:00:00,572.250654519282,554.368585112872,536,739
2026-01-13 17:00:00,443.513001856785,404.16109394097,455,526
2026-01-13 18:00:00,254.494960583484,247.10180313779,247,305
2026-01-13 19:00:00,195.658011545501,169.336314559946,206,173
2026-01-13 20:00:00,132.958347511481,124.287627346628,130,142
2026-01-13 21:00:00,74.6846334249205,61.7656618452232,80,87
2026-01-13 22:00:00,62.8687796315086,38.3097778998725,69,46
2026-01-13 23:00:00,32.0396524195956,19.9675985238035,33,38
2026-01-14,23.1130252924448,4.77110590939327,17,13
2026-01-14 01:00:00,13.9796916025268,-2.00168472462718,6,7
2026-01-14 02:00:00,16.4982678115913,-3.53654702863224,16,11
2026-01-14 03:00:00,29.3906175245577,10.347307247991,21,32
2026-01-14 04:00:00,51.8576508356572,30.6173176036168,52,47
2026-01-14 05:00:00,99.6532431937133,75.128561399228,89,109
2026-01-14 06:00:00,260.527895071414,234.289395344797,232,270
2026-01-14 07:00:00,392.905645950142,358.788039830396,327,542
2026-01-14 08:00:00,452.171061849626,411.073848690641,408,514
2026-01-14 09:00:00,462.891964949841,432.024768953419,413,542
2026-01-14 10:00:00,513.006062843105,512.951335635555,461,596
2026-01-14 11:00:00,524.548249674519,576.625511530824,490,637
2026-01-14 12:00:00,517.792588198308,606.7651996137,456,709
2026-01-14 13:00:00,511.446849719076,584.387830325362,461,627
2026-01-14 14:00:00,526.99430641247,616.334860703577,461,642
2026-01-14 15:00:00,632.561634644434,685.209254869649,587,720
2026-01-14 16:00:00,572.325316234142,582.274684605232,536,621
2026-01-14 17:00:00,443.3138144203,456.529717371543,455,510
2026-01-14 18:00:00,254.271087723,288.228520288473,247,333
2026-01-14 19:00:00,195.61861475794,214.056171715734,206,214
2026-01-14 20:00:00,132.878252178087,145.973674629297,130,169
2026-01-14 21:00:00,74.5947228363041,95.6125186506782,80,111
2026-01-14 22:00:00,62.8043409117845,79.5613498089532,69,60
2026-01-14 23:00:00,32.0274659948643,32.7545362414185,33,26
